guid,title,comments,Published status,Book Weight,body
112,112,2,1,112,"IN THE HEART OF THE HIBERNIAN METROPOLIS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Before Nelson’s pillar trams slowed, shunted, changed trolley started for Blackrock, Kingstown and Dalkey, Clonskea, Rathgar and Terenure, Palmerston park and upper Rathmines, Sandymount, Green Rathmines, Ringsend, and Sandymount Tower, Harold's Cross. The hoarse Dublin United Tramway Company’s timekeeper bawled them off:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Rathgar and Terenure!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Come on, Sandymount Green!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Right and left parallel clanging ringing a doubledecker and a singledeck moved from their railheads, swerved to the down line, glided parallel.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Start, Palmerston park!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE WEARER OF THE CROWN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Under the porch of the general post office shoeblacks called and polished. Parked in North Prince’s street His Majesty’s vermilion mailcars, bearing on their sides the royal initials, E. R., received loudly flung sacks of letters, postcards, lettecards, parcels, insured and paid, for local, provincial, British and overseas delivery.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;GENTLEMEN OF THE PRESS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Grossbooted draymen rolled barrels dullthudding out of Prince’s stores and bumped them up on the brewery float. On the brewery float bumped dullthudding barrels rolled by grossbooted draymen out of Prince’s stores.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— There it is, Red Murray said. Alexander Keyes."
113,113,2,1,113,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Just cut it out, will you? Mr Bloom said, and I’ll take it round to the Telegraph office.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The door of Ruttledge’s office creaked again. Davy Stephens, minute in a large capecoat, a small felt hat crowning his ringlets, passed out with a roll of papers under his cape, a king’s courier.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Red Murray’s long shears sliced out the advertisement from the newspaper in four clean strokes. Scissors and paste.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I'll go through the printing works, Mr Bloom said, taking the cut square.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Of course, if he wants a par, Red Murray said earnestly, a pen behind his ear, we can do him one.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Right, Mr Bloom said with a nod. I’ll rub that in.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;We.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;WILLIAM BRAYDEN, ESQUIRE, OF OAKLANDS, SANDYMOUNT<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Red Murray touched Mr Bloom’s arm with the shears and whispered:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Brayden.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom turned and saw the liveried porter raise his lettered cap as a stately figure entered between the newsboards of the Weekly Freeman and National Press and the Freemans Journal and National Press. Dullthudding Guinness’s barrels. It passed stately up the staircase steered by an umbrella, a solemn beardframed face. The broadcloth back ascended each step : back. All his brains are in the nape of his neck, Simon Dedalus says. Welts of flesh behind on him. Fat folds of neck, fat, neck, fat, neck.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Don’t you think his face is like Our Saviour? Red Murray whispered.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The door of Ruttledge’s office whispered : ee : cree. They always build<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;one door opposite another for the wind to. Way in. Way out.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Our Saviour : beardframed oval face : talking in the dusk Mary, Martha. Steered by an umbrella sword to the footlights : Mario the tenor.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Or like Mario, Mr Bloom said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Yes, Red Murray agreed. But Mario was said to be the picture of Our Saviour.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Jesus Mario with rougy cheeks, doublet and spindle legs. Hand on his heart. In Martha.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Co-ome thou lost one,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Co-ome thou dear one"
114,114,2,1,114,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE CROZIER AND THE PEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— His grace phoned down twice this morning, Red Murray said gravely.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;They watched the knees, legs, boots vanish. Neck.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A telegram boy stepped in nimbly, threw an envelope on the counter and stepped off posthaste with a word.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Freeman!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom said slowly:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Well, he is one of our saviours also.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A meek smile accompanied him as he lifted the counterflap, as he passed in through the sidedoor and along the warm dark stairs and passage, along the now reverberating boards. But will he save the circulation? Thumping, thumping.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He pushed in the glass swingdoor and entered, stepping over strewn packing paper. Through a lane of clanking drums he made his way towards Nannetti’s reading closet.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;WITH UNFEIGNED REGRET IT IS WE ANNOUNCE THE DISSOLUTION OF A MOST RESPECTED DUBLIN BURGESS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hynes here too : account of the funeral probably. Thumping thump. This morning the remains of the late Mr Patrick Dignam. Machines. Smash a man to atoms if they got him caught. Rule the world today. His machineries are pegging away too. Like these, got out of hand : fermenting. Working away, tearing away. And that old grey rat tearing to get in.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;HOW A GREAT DAILY ORGAN IS TURNED OUT<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom halted behind the foreman’s spare body, admiring a glossy crown.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Strange he never saw his real country. Ireland my country. Member for College green. He boomed that workaday worker tack for all it was worth. It’s the ads and side features sell a weekly not the stale news in the official gazette. Queen Anne is dead. Published by authority in the year one thousand and. Demesne situate in the townland of Rosenallis, barony of Tinnachinch. To all"
115,115,2,1,115,"whom it may concern schedule pursuant to statute showing return of number of mules and jennets exported from Ballina. Nature notes. Cartoons. Phil Blake’s weekly Pat and Bull story. Uncle Toby’s page for tiny tots. Country bumpkin’s queries. Dear Mr Editor, what is a good cure for flatulence? I’d like that part. Learn a lot teaching others. The personal note M. A. P. Mainly all pictures. Shapely bathers on golden strand. World’s biggest balloon. Double marriage of sisters celebrated. Two bridegrooms laughing heartily at each other. Cuprani too, printer. More Irish than the Irish.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The machines clanked in threefour time. Thump, thump, thump. Now if he got paralysed there and no one knew how to stop them they’d clank on and on the same, print it over and over and up and back. Monkeydoodle the whole thing. Want a cool head.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Well, get it into the evening edition, councillor,Hynes said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Soon be calling him my lord mayor. Long John is backing him they say.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The foreman, without answering, scribbled press on a corner of the sheet and made a sign to a typesetter. He handed the sheet silently over the dirty glass screen.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Right : thanks, Hynes said moving off,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom stood in his way.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— If you want to draw the cashier is just going to lunch, he said, pointing backward with his thumb.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Did you? Hynes asked.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Mm, Mr Bloom said. Look sharp and you’ll catch him.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Thanks, old man, Hynes said. I’ll tap him too.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He hurried on eagerly towards the Freeman's Journal.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Three bob I lent him in Meagher’s. Three weeks. Third hint.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;WE SEE THE CANVASSER AT WORK<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom laid his cutting on Mr Nannetti’s desk.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Excuse me, councillor, he said. This ad, you see. Keyes, you remember.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Nannetti considered the cutting a while and nodded.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— He wants it in for July, Mr Bloom said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He doesn’t hear it. Nannan. Iron nerves.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The foreman moved his pencil towards it.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— But wait, Mr Bloom said. He wants it changed. Keyes, you see. He wants two keys at the top."
116,116,2,1,116,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hell of a racket they make. Maybe he understands what I.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The foreman turned round to hear patiently and, lifting an elbow, began to scratch slowly in the armpit of his alpaca jacket.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Like that, Mr Bloom said, crossing his forefingers at the top.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Let him take that in first.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom, glancing sideways up from the cross he had made, saw the foreman’s sallow face, think he has a touch of jaundice, and beyond the obedient reels feeding in huge webs of paper. Clank it. Clank it. Miles of it unreeled. What becomes of it after? O, wrap up meat, parcels: various uses, thousand and one things.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Slipping his words deftly into the pauses of the clanking he drew swiftly on the scarred woodwork.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;HOUSE OF KEY(E)S<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Like that, see. Two crossed keys here. A circle. Then here the name Alexander Keyes, tea, wine and spirit merchant. So on.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Better not teach him his own business.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— You know yourself, councillor, just what he wants. Then round the top in leaded : the house of keys. You see? Do you think that’s a good idea?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The foreman moved his scratching hand to his lower ribs and scratched there quietly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The idea, Mr Bloom said, is the house of keys. You know, councillor, the Manx parliament. Innuendo of home rule. Tourists, you know, from the isle of Man. Catches the eye, you see. Can you do that?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;I could ask him perhaps about how to pronounce that voglio. But then if he didn’t know only make it awkward for him. Better not.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— We can do that, the foreman said. Have you the design?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I can get it, Mr Bloom said. It was in a Kilkenny paper. He has a house there too. I'll just run out and ask him. Well, you can do that and just a little par calling attention. You know the usual. High class licensed premises. Longfelt want. So on.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The foreman thought for an instant.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— We can do that, he said. Let him give us a three months’ renewal.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A typesetter brought him a limp galleypage. He began to check it silently. Mr Bloom stood by, hearing the loud throbs of cranks, watching the silent typesetters at their cases."
117,117,2,1,117,"ORTHOGRAPHICAL<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Want to be sure of his spelling. Proof fever. Martin Cunningham forgot to give us his spellingbee conundrum this morning. It is amusing to view the unpar one ar alleled embarra two ars is it? double ess ment of a harassed pedlar while gauging au the symmetry of a peeled pear under a cemetery wall. Silly, isn’t it? Cemetery put in of course on account of the symmetry.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;I could have said when he clapped on his topper. Thank you. I ought to have said something about an old hat or something. No, I could have said. Looks as good as new now. See his phiz then.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Sllt. The nethermost deck of the first machine jogged forward its flyboard with sllt the first batch of quirefolded papers. Sllt. Almost human the way it sllt to call attention. Doing its level best to speak. That door too sllt creaking, asking to be shut. Everything speaks in its own way. Sllt.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NOTED CHURCHMAN AN OCCASIONAL CONTRIBUTOR<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The foreman handed back the galleypage suddenly, saying:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Wait. Where’s the archbishop’s letter? It’s to be repeated in the Telegraph. Where’s what’s his name?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He looked about him round his loud unanswering machines.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Monks, sir? a voice asked from the castingbox.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Ay. Where’s Monks?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Monks!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom took up his cutting. Time to get out.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Then I’ll get the design, Mr Nannetti, he said, and you’ll give it a good place I know.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Monks!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Yes, sir.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Three months’ renewal. Want to get some wind off my chest first. Try it anyhow. Rub in August : good idea : horseshow month. Ballsbridge. Tourists over for the show."
118,118,2,1,118,"A DAYFATHER<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He walked on through the caseroom, passing an old man, bowed, spectacled, aproned. Old Monks, the dayfather. Queer lot of stuff he must have put through his hands in his time : obituary notices, pubs’ ads, speeches, divorce suits, found drowned. Nearing the end of his tether now. Sober serious man with a bit in the savingsbank I’d say. Wife a good cook and washer. Daughter working the machine in the parlour. Plain Jane, no damn nonsense.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AND IT WAS THE FEAST OF THE PASSOVER<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He stayed in his walk to watch a typesetter neatly distributing type. Reads it backwards first. Quickly he does it. Must require some practice that. man-giD. kcirtaP. Poor papa with his hagadah book, reading backwards with his finger to me. Pessach. Next year in Jerusalem. Dear, O dear! All that long business about that brought us out of the land of Egypt and into the house of bondage alleluia. Shema Israel Adonai Elohenu. No, that’s the other. Then the twelve brothers, Jacob’s sons. And then the lamb and the cat and the dog and the stick and the water and the butcher and then the angel of death kills the butcher and he kills the ox and the dog kills the cat. Sounds a bit silly till you come to look into it well. Justice it means but it’s everybody eating everyone else. That’s what life is after all. How quickly he does that job. Practice makes perfect. Seems to see with his fingers.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom passed on out of the clanking noises through the gallery on to the landing. Now am I going to tram it out all the way and then catch him out perhaps. Better phone him up first. Number? Same as Citron’s house. Twentyeight. Twentyeight double four.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ONLY ONCE MORE THAT SOAP<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He went down the house staircase. Who the deuce scrawled all over these walls with matches? Looks as if they did it for a bet. Heavy greasy smell there always is in those works. Lukewarm glue in Thom's next door when I was there.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He took out his handkerchief to dab his nose. Citronlemon? Ah, the soap I put there. Lose it out of that pocket. Putting back his handkerchief he took out the soap and stowed it away, buttoned, into the hip pocket of his trousers."
119,119,2,1,119,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What perfume does your wife use? I could go home still : tram : something I forgot. Just to see before dressing. No. Here. No.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A sudden screech of laughter came from the Evening Telegraph office. Know who that is. What’s up? Pop in a minute to phone. Ned Lambert it is.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He entered softly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ERIN, GREEN GEM OF THE SILVER SEA<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The ghost walks, professor MacHugh murmured softly, biscuitfully to the dusty windowpane.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Dedalus, staring from the empty fireplace at Ned Lambert’s quizzing face, asked of it sourly:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Agonising Christ, wouldn’t it give you a heartburn on your arse?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ned Lambert, seated on the table, read on:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Or again, note the meanderings of some purling rill as it babbles on its way, fanned by gentlest zephyrs tho’ quarelling with the stony obstacles, to the tumbling waters of Neptune's blue domain, mid mossy banks, played on by the glorious sunlight or ’neath the shadows cast o'er its pensive bosom by the overarching leafage of the giants of the forest. What about that, Simon? he asked over the fringe of his newspaper. How’s that for high?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Changing his drink, Mr Dedalus said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ned Lambert, laughing, struck the newspaper on his knees, repeating:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The pensive bosom and the overarsing leafage. O boys! O, boys!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— And Xenophon looked upon Marathon, Mr Dedalus said, looking again on the fireplace and to the window, and Marathon looked on the sea.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— That will do, professor MacHugh cried from the window. I don’t want to hear any more of the stuff.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He ate off the crescent of water biscuit he had been nibbling and, hungered, made ready to nibble the biscuit in his other hand.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;High falutin stuff. Bladderbags. Ned Lambert is taking a day off I see. Rather upsets a man’s day a funeral does. He has influence they say. Old Chatterton, the vice-chancellor is his granduncle or his greatgranduncle. Close on ninety they say. Subleader for his death written this long time perhaps. Living to spite them. Might go first himself. Johnny, make room for your uncle. The right honourable Hedges Eyre Chatterton. Daresay he writes him an odd shaky cheque or two on gale days. Windfall when he kicks out. Alleluia.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Just another spasm, Ned Lambert said."
120,120,2,1,120,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— What is it? Mr Bloom asked.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— A recently discovered fragment of Cicero’s, professor Mac Hugh answered with pomp of tone. Our lovely land.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SHORT BUT TO THE POINT<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Whose land? Mr Bloom said simply.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Most pertinent question, the professor said between his chews. With an accent on the whose.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Dan Dawson’s land, Mr Dedalus said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Is it his speech last night? Mr Bloom asked.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ned Lambert nodded.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— But listen to this, he said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The doorknob hit Mr Bloom in the small of the back as the door was pushed in.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Excuse me, J. J. O’Molloy said, entering.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mr Bloom moved nimbly aside.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I beg yours, he said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Good day, Jack.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Come in. Come in.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Good day.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— How are you, Dedalus?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Well. And yourself?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;J. J. O’Molloy shook his head.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SAD<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Cleverest fellow at the junior bar he used to be. Decline poor chap. That hectic flush spells finis for a man. Touch and go with him. What’s in the wind, I wonder. Money worry.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Or again if we but climb the serried mountain peaks.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— You’re looking extra.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Is the editor to be seen? J. J. O’Molloy asked, looking towards the inner door.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Very much so, professor MacHugh said. To be seen and heard. He’s in his sanctum with Lenehan."
121,121,2,1,121,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;J. J. O’Molloy strolled to the sloping desk and began to turn back the pink pages of the file.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Practice dwindling. A mighthavebeen. Losing heart. Gambling. Debts of honour. Reaping the whirlwind. Used to get good retainers from D. and T. Fitzgerald. Their wigs to show their grey matter. Brains on their sleeve like the statue in Glasnevin. Believe he does some literary work for the Express with Gabriel Conroy. Wellread fellow. Myles Crawford began on the Independent. Funny the way those newspaper men veer about when they get wind of a new opening. Weathercocks. Hot and cold in the same breath. Wouldn’t know which to believe. One story good till you hear the next. Go for one another baldheaded in the papers and then all blows over. Hailfellow well met the next moment.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Ah, listen to this for God’ sake, Ned Lambert pleaded. Or again if we but climb the serried mountain peaks...<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Bombast! the professor broke in testily. Enough of the inflated windbag!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Peaks, Ned Lambert went on, towering high on high, to bathe our souls, as it were...<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Bathe his lips, Mr Dedalus said. Blessed and eternal God! Yes? Is he taking anything for it.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— As 'twere, in the peerless panorama of Ireland's portfolio, unmatched, despite their wellpraised prototypes in other vaunted prize regions for very beauty, of bosky grove and undulating plain and luscious pastureland of vernal green, steeped in the transcendent translucent glow of our mild mysterious Irish twilight...<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;HIS NATIVE DORIC<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The moon, professor MacHugh said. He forgot Hamlet.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— That mantles the vista far and wide and wait till the glowing orb of the moon shines forth to irradiate her silver effulgence.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— O! Mr Dedalus cried, giving vent to to a hopeless groan, shite and onions! That’ll do, Ned. Life is too short.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He took off his silk hat and, blowing out impatiently his bushy moustache, welshcombed his hair with raking fingers.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ned Lambert tossed the newspaper aside, chuckling with delight. An instant after a hoarse bark of laughter burst over professor MacHugh’s unshaven blackspectacled face.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Doughy Daw! he cried."
