guid,title,comments,Published status,body,
408,408,2,1,"(The Mabbot street entrance of nighttown, before which stretches an uncobbled tramsiding set with skeleton tracks, red and green will-o’-the wisps and danger signals. Rows of flimsy houses with gaping doors. Rare lamps with faint rainbow fans. Round Rabaiotti's halted ice gondola stunted men and women squabble. They grab wafers between which are wedged lumps of coal and copper snow. Sucking, they scatter slowly. Children. The swancomb of the gondola, highreared, forges on through the murk, white and blue under a lighthouse. Whistles call and answer.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE CALLS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Wait, my love, and Til be with you.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE ANSWERS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Round behind the stable.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(A deafmute idiot with goggle eyes, his shapeless mouth dribbling, jerks past, shaken in Saint Vitus’ dance. A chain of children’s hands imprisons him.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE CHILDREN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Kithogue! Salute!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE IDIOT<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Lifts a palsied left arm and gurgles.) Grhahute!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE CHILDREN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Where’s the great light?",
409,409,2,1,"THE IDIOT<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Gobbling.) Ghaghahest.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;( They release him. He jerks on. A pigmy woman swings on a rope slung between the railings, counting. A form sprawled against a dustbin and muffled by its arm and hat moves, groans, grinding growling teeth, and snores again. On a step a gnome totting among a rubbishtip crouches to shoulder a sack of rags and bones. A crone standing by with a smoky oil lamp rams the last bottle in the maw of his sack. He heaves his booty, tugs askew his peaked cap and hobbles off mutely. The crone makes back for her lair swaying her lamp. A bandy child, asquat on the doorstep with a paper shuttlecock, crawls sidling after her in spurts, clutches her skirt, scrambles up. A drunken navvy grips with both hands the railings of an area, lurching heavily. At a corner two night watch in shoulder capes, their hands upon their staffholsters, loom tall. A plate crashes; a woman screams; a child wails. Oaths of a man roar, mutter, cease. Figures wander, lurk, peer from warrens. In a room lit by a candle stuck in a bottleneck a slut combs out the tatts from the hair of a scrufulous child. Cissy Caffrey’s voice, still young, sings shrill from a lane.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;CISSY CAFFREY<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;I gave it to Molly Because she was jolly,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The leg of the duck The leg of the duck.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Private Carr and Private Compton, swaggersticks tight in their oxters, as they march unsteadily rightaboutface and burst together from their mouths a volleyed fart. Laughter of men from the lane. A hoarse virago retorts.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE VIRAGO<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Signs on you, hairy arse. More power the Cavan girl.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;CISSY CAFFREY<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;More luck to me. Cavan, Cootehill and Belturbet. (She sings.)",
410,410,2,1,"I gave it to Nelly To stick in her belly The leg of the duck The leg of the duck.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Private Carr and Private Compton turn and counterretort, their tunics bloodbright in a lampglow, black sockets of caps on their blond cropped polls. Stephen Dedalus and Lynch pass through the crowd close to the redcoats.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;PRIVATE COMPTON<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Jerks his finger.) Way for the parson.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;PRIVATE CARR<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Turns and calls.) What ho, parson!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;CISSY CAFFREY<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Her voice soaring higher.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;She has it, she got it,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Wherever she put it The leg of the duck.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Stephen flourishing the ashplant in his left hand, chants with joy the introit for paschal time. Lynch, his jockey cap low on his brow, attends him, a sneer of discontent wrinkling his face.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Vidi aquam egredientem de templo a latere dextro. Alleluia.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(The famished snaggletusks of an elderly bawd protude from a doorway.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE BAWD<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Her voice whispering huskily.) Sst! Come, here till I tell you. Maidenhead inside. Sst.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Altius aliquantulum.) Et omnes ad quos pervenit aqua ista.",
411,411,2,1,"THE BAWD<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Spits in their trail her jet of venom.) Trinity medicals. Fallopian tube. All prick and no pence.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Edy Boardman, sniffling, crouched with Bertha Supple, draws her shawl across her nostrils.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;EDY BOARDMAN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Bickering.) And says the one : I seen you up Faithful place with your squarepusher, the greaser off the railway, in his cometobed hat. Did you, says I. That’s not for you to say, says I. You never seen me in the mantrap with a married highlander, says I. The likes of her! Stag that one is. Stubborn as a mule! And her walking with two fellows the one time, Kildbride the enginedriver, and lancecorporal Oliphant.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Triumphaliter.) Salvi facti i sunt.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He flourishes his ashplant shivering the lamp image, shattering light over the world. A liver and white spaniel on the prowl slinks after him, growling. Lynch scares it with a kick.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LYNCH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;So that?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Looks behind.) So that gesture, not music not odours, would be a universal language, the gift of tongues rendering visible not the lay sense but the first entelechy, the structural rhythm.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LYNCH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Pornosophical philotheology. Metaphysics in Mecklenburg street!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;We have shrewridden Shakespeare and henpecked Socrates. Even the allwisest stagyrite was bitted, bridled and mounted by a light of love.",
412,412,2,1,"LYNCH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ba!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Anyway, who wants two gestures to illustrate a loaf and a jug! This movement illustrates the loaf and jug of bread and wine in Omar. Hold my stick.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LYNCH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Damn your yellow stick. Where are we going?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;STEPHEN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lecherous lynx, to la belle dame sans merci, Georgina Johnson, ad deam qui laetificat juventutem meam.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Stephen thrusts the ashplant on him and slowly holds out his hands, his head going back till both hands are a span from his breast, down turned in planes intersecting, the fingers about to part, the left being higher.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LYNCH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Which is the jug of bread? It skills not. That or the customhouse. Illustrate thou. Here take your crutch and walk.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(They pass. Tommy Caffrey scrambles to a gaslamp and, clasping, climbs in spasms. From the top spur he slides down. Jacky Caffrey clasps to climb. The navvy lurches against the lamp. The twins scuttle off in the dark. The navvy, swaying, presses a forefinger against a wing of his nose and ejects from the farther nostril a long liquid jet of snot. Shoulderiug the lamp he staggers away through the crowd with his flaring cresset.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Snakes of river fog creep slowly. From drains, clefts, cesspools, middens arise on all sides stagnant fumes. A glow leaps in the south beyond the seaward reaches of the river. The navvy staggering forward cleaves the crowd and lurches towards the tramsiding. On the farther side under the railway bridge Bloom appears flushed, panting, cramming bread and chocolate into a side pocket. From Gillen's hairdresser s window a composite portrait shows him gallant Nelson’s image. A concave mirror",
413,413,2,1,"at the side presents to him lovelorn longlost lugubru Booloohoom. Grave Gladstone sees him level, Bloom for Bloom. He passes, struck by the stare of truculent Wellington but in the convex mirror grin unstruck the bonham eyes and fatchuck cheekchops of Jollypoldy the rixdix doldy.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;At Antonio Rabaiottis door Bloom halts, sweated under the bright arclamps. He disappears. In a moment he reappears and hurries on.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Fish and taters. N. g. Ah!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He disappears into Olhousen's, the pork butcher's, under the downcoming rollshutter. A few moments later he emerges from under the shutter, puffing Poldy, blowing Bloohoom. In each hand he holds a parcel, one containing a lukewarm pig’s crubeen, the other a cold sheep’s trotter, sprinkled with wholepepper. He gasps, standing upright. Then bending to one side he presses a parcel against his rib and groans.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stitch in my side. Why did I run?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He takes breath with care and goes forward slowly towards the lampset siding. The glow leaps again.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What is that? A flasher? Searchlight.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He stands at Cormack's corner, watching.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Aurora borealis or a steel foundry? Ah, the brigade, of course. South side anyhow. Big blaze. Might be his house. Beggar’s bush. We’re safe. (He hums cheerfully.) London’s burning, London’s burning! On fire, on fire! (He catches sight of the navvy lurching through the crowd at the farther side of Talbot street.) I’ll miss him. Run. Quick. Better cross here.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He darts to cross the road. Urchins shout.)",
414,414,2,1,"THE URCHINS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mind out, mister!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Two cyclists, with lighted paper lanterns awsing, swim by him, grazing him, their bells rattling.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE BELLS<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Haltyaltyaltyall.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Halts erect stung by a spasm.) Ow.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He looks round, darts forward suddenly. Through rising fog a dragon sandstrewer, travelling at caution, slews heavily down upon him, its huge red headlight winking, its trolley hissing on the wire. The motorman bangs his foot gong.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE GONG<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bang Bang Bla Bak Blud Bugg Bloo.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(The brake cracks violently. Bloom, raising a policeman's whitegloved hand, blunders stifflegged, out of the track. The motorman thrown forward, pugnosed, on the guidewheel, yells as he slides past over chains and keys.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE MOTORMAN<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hey, shitbreeches, are you doing the hattrick?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Bloom trickleaps to the curbstone and halts again. He brushes a mudflake from his cheek with a parcelled hand.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;No thoroughfare. Close shave that but cured the stitch. Must take up Sandow’s exerciser again. On the hands down. Insure against street accident too. The Providential. (He feels his trouser pocket.) Poor mamma’s panacea. Heel easily catch in tracks or bootlace in a cog. Day, the wheel of the black Maria, peeled off my shoe at Leonard’s corner. Third time is the charm. Shoe trick. Insolent driver. I ought to report him. Tension makes them nervous. Might",
415,415,2,1,"be the fellow balked me this morning with that horsey woman. Same style of beauty. Quick of him all he same. The stiff walk. True word spoken in jest. That awful cramp in Lad lane. Something poisonous I ate. Emblem of luck. Why? Probably lost cattle. Mark of the beast. (He closes his eyes an instant.) Bit light in the head. Monthly or effect of the other. Brainfogfag. That tired feeling. Too much for me now. Ow!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(A sinister figure leans on plaited legs against O’Beirne’s wall, a visage unknown, injected with dark mercury. From under a wideleaved sombrero the figure regards him with evil eye.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bueñas noches, señorita Blanca, que calle es esta?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;THE FIGURE<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Impassive, raises a signal arm.) Password. Sraid Mabbot.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Haha. Merci. Esperanto. Slan leath. (He mutters.) Gaelic league spy, sent by that fireeater.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He steps forward. A sackshouldered ragman bars his path. He steps left, ragsackman left.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;I beg.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He swerves, sidles, stepaside, slips past and on.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Keep to the right, right, right. If there is a fingerpost planted by the Touring Club at Stepaside who procured that public boon? I who lost my way and contributed to the columns of the Irish Cyclist the letter headed, In darkset Stepaside. Keep, keep, keep to the right. Rags and bones, at midnight. A fence more likely. First place murderer makes for. Wash off his sins of the world.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Jacky Caffrey, hunted by Tommy Caffrey, runs full tilt against Bloom.)",
416,416,2,1,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;O.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Shocked, on weak hams, he halts. Tommy and Jacky vanish there, there. Bloom pats with parcelled hands watch, fobpocket, bookpocket, pursepoke, sweets of sin, potato soap.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Beware of pickpockets. Old thieves dodge. Collide. Then snatch your purse.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(The retriever approches sniffling, nose to the ground. A sprawled form sneezes. A stooped bearded figure appears garbed in the long caftan of an elder in Zion and a smoking cap with magenta tassels. Horned spectacles hang down at the wings of the nose. Yellow poison streaks are on the drawn face.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;RUDOLPH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Second halfcrown waste money today. I told you not go with drunken goy ever. So. You catch no money.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Hides the crubeen and trotter behind his back and, crestfallen, feels warm and cold feetmeat.) Ja, ich weiss, papachi.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;RUDOLPH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What you making down this place? Have you no soul? (With feeble vulture talons he feels the silent face of Bloom.) Are you not my son Leopold, the grand son of Leopold? Are you not my dear son Leopold who left the house of his father and left the god of his fathers Abraham and Jacob?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(With precaution.) I suppose so, father. Mosenthal. All that’s left of him.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;RUDOLPH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Severely.) One night they bring you home drunk as dog after spend your good money. What you call them running chaps?",
417,417,2,1,"BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(In youth’s smart blue Oxford suit with white vestslips, narrowshouldered, in brown Alpine hat, wearing gent’s sterling silver waterbury keyless watch and double curb Albert with seal attached, one side of him coated with stiffening mud.) Harriers, father. Only that once.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;RUDOLPH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Once! Mud head to foot. Cut your hand open. Lockjaw. They make you kaput, Leopoldleben. You watch them chaps.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Weakly.) They challenged me to a sprint. It was muddy. I slipped.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;RUDOLPH<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(With contempt.) Goim nachez Nice spectacles for your poor mother!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mamma!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ELLEN BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(In pantomime dame’s stringed mobcap, crinoline and bustle, widow Twankey’s blouse with muttonleg sleeves buttoned behind, grey mittens and cameo brooch, her hair plaited in a crispine net, appears over the staircase banisters, a slanted candlestick in her hand and cries out in shrill alarm.) O blessed Redeemer, what have they done to him! My smelling salts! (She hauls up a reef of skirt and ransacks the pouch of her striped blay petticoat. A phial, an Agnus Dei, a shrivelled potato and a celluloid doll fall out.) Sacred Heart of Mary, where were you at all, at all?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Bloom, mumbling, his eyes downcast begins to bestow his parcels in his filled pockets but desists, muttering.)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A VOICE<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(Sharply.) Poldy!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;BLOOM<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Who? (He ducks and wards off a blow clumsily.) At your service.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(He looks up. Beside her mirage of datepalms a handsome woman in Turkish costume stands before him. Opulent curves fill out her scarlet",
