guid,title,comments,Published status,body
619,619,2,1,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What parallel courses did Bloom and Stephen follow returning ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Starting united both at normal walking pace from Beresford Place they followed in the order named Lower and Middle Gardiner streets and Mountjoy square, west : then, at reduced pace, each bearing left, Gardiner’s place by an inadvertence as far as the farther corner of Temple street, north : then, at reduced pace with interruptions of halt, bearing right, Temple street, north, as far as Hardwicke place. Approaching, disparate, at relaxed walking pace they crossed both the circus before George’s church diametrically, the chord in any circle being less than the arc which it subtends.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Of what did the duumvirate deliberate during their itinerary ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Music, literature, Ireland, Dublin, Paris, friendship, woman, prostitution, diet, the influence of gaslight or the light of arc and glowlamps on the growth of adjoining paraheliotropic trees, exposed corporation emergency dustbuckets, the Roman catholic church, ecclesiastical celibacy, the Irish nation, jesuit education, careers, the study of medicine, the past day, the maleficent influence of the presabbath, Stephen’s collapse.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Did Bloom discover common factors of similarity between their respective like and unlike reactions to experience ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Both were sensitive to artistic impressions musical in preference to plastic or pictorial. Both preferred a continental to an insular manner of life, a cisatlantic to a transatlantic place of residence. Both indurated by early domestic training and an inherited tenacity of heterodox resistance professed their disbelief in many orthodox religions, national, social and ethical doctrines. Both admitted the alternately stimulating and obtunding influence of heterosexual magnetism."
620,620,2,1,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Were their views on some points divergent ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen dissented openly from Bloom’s views on the importance of dietary and civic selfhelp while Bloom dissented tacitly from Stephen’s views on the eternal affirmation of the spirit of man in literature. Bloom assently covertly to Stephen’s rectification of the anachronism involved in assigning the date of the conversion of the Irish nation to Christianity from druidism by Patrick son of Calpornus, son of Potitus, son of Odyssus, sent by pope Celestine I in the year 432 in the reign of Leary to the year 260 or thereabouts in the reign of Cormac Mac Art (+ 266 A. D.) suffocated by imperfect deglutition of aliment at Sletty and interred at Rossnaree. The collapse which Bloom ascribed to gastric inanition and certain chemical compounds of varying degrees of adulteration and alcoholic strength, accelerated by mental exertion and the velocity of rapid circular motion in a relaxing atmosphere, Stephen attributed to the reapparition of a matutinal cloud (perceived by both from two different points of observation, Snndycove and Dublin), at first no bigger than a woman’s hand.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Was there one point on which their views were equal and negative ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The influence of gaslight or electric light on the growth of adjoining paraheliotropic trees.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Had Bloom discussed similar subjects during nocturnal perambulations in the past ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;In 1884 with Owen Goldberg and Cecil Turnbull at night on public thoroughfares between Longwood avenue and Leonard’s corner and Leonard’s corner and Synge street and Synge street and Bloomfield Avenue. In 1885 with Percy Apjohn in the evenings, reclined against the wall between Gibraltar villa and Bloomfield house in Crumlin, barony of Uppercross. In 1886 occusionally with casual acquaintances and prospective purchasers on doorsteps, in front parlours, in third class railway carriages of suburban lines. In 1888 frequently with major Brian Tweedy and his daughter Miss Marion Tweedy, together and separately on the lounge in Matthew Dillon s house in Roundtown. Once in 1892 and once in 1893 with Julius Mastiansky, on both occasions in the parlour of his (Bloom’s) house in Lombard street, west.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What reflection concerning the irregular sequence of dates 1884, 1885, 1886, 1888, 1892, 1893, 1904 did Bloom make before their arrival at their destination ?"
621,621,2,1,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He reflected that the progressive extension of the field of individual development and experience was regressively accompanied by a restriction of the converse domain of interindividual relations.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;As in what ways ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;From inexistence to existence he came to many and was as one received : existence with existence he was with any as any with any : from existence to nonexistence gone he would be by all as none perceived.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What did Bloom make on their arrival at their destination ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;At the housesteps of the 4th of the equidifferent uneven numbers, number 7 Eccles street, lie inserted his hand mechanically into the back pocket of his trousers to obtain his latchkey.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Was it there ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;It was in the corresponding pocket of the trousers which he had worn on the day but one preceding.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Why was he doubly irritated ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Because he had forgotten and because he remembered that he had reminded himself twice not to forget.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What were then the alternatives before the, premeditatedly (respectively) and inadvertently, keyless couple ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;To enter or not to enter. To knock or not to knock.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bloom’s decision ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A stratagem. Resting his feet on the dwarf wall, he climbed over the area railings, compressed his hat on his head, grasped two points at the lower union of rails and stiles, lowered his body gradually by its length of five feet nine inches and a half to within two feet ten inches of the area pavement, and allowed his body to move freely in space by separating himself from the railings and crouching in preparation for the impact of the fall.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Did he fall ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;By his body’s known weight of eleven stone and four pounds in avoirdupois measure, as certified by the graduated machine for periodical selfweighing in the premises of Francis Froedman, pharmaceutical chemist of 19 Frederick street, north, on the last feast of the Ascension, to wit, the twelfth day of May of the"
622,622,2,1,"bissextile year one thousand nine hundred and four of the Christian era, (jewish era five thousand six hundred and sixtyfour, mohammadan era one thousand three hundred and twenty two), golden number 5, epact 13, solar cycle 9, dominical letters C B, Roman indication 2, Julian period 6617, MXMIV.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Did he rise uninjured by concussion ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Regaining new stable equilibrium he rose uninjured though concussed by the impact, raised the latch of the area door by the exertion of force at its freely moving flange and by leverage of the first kind applied at its fulcrum gained retarded access to the kitchen through the subadjacent scullery, ignited a lucifer match by friction, set free inflammable coal gas by turning on the ventcock, lit a high flame which, by regulating, he reduced to quiescent candescence and lit finally a portable candle.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What discrete succession of images did Stephen meanwhile perceive ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Reclined against the area railings he perceived through the transparent kitchen panes a man regulating a gasflame of 14 C P, a man lighting a candle, a man removing in turn each of his two boots, a man leaving the kitchen holding a candle of 1 C P.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Did the man reappear elsewhere ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;After a lapse of four minutes the glimmer of his candle was discernible through the semitransparent semicircular glass fanlight over the halldoor. The halldoor turned gradually on its hinges. In the open space of the doorway the man reappeared without his hat, with his candle.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Did Stephen obey his sign ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yes, entering softly, he helped to close and chain the door and followed softly along the hallway the man's back and listed feet and lighted candle past a lighted crevice of doorway on the left and carefully down a turning staircase of more than five steps into the kitchen of Bloom’s house.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What did Bloom do ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He extinguished the candle by a sharp expiration of breath upon its flame, drew two spoonseat deal chairs to the hearthstone, one for Stephen with its back to the area window, the other for himself when necessary, knelt on one knee, composed in the grate a pyre of crosslaid resintipped sticks and various coloured papers and irregular polygons of best Abram coal at twentyone shillings a ton from the yard of Messrs Flower and M'Donald of 14 D’Olier"
623,623,2,1,"street, kindled it at three projecting points of paper with one ignited lucifer match, thereby releasing the potential energy contained in the fuel by allowing its carbon and hydrogen elements to enter into free union with the oxygen of the air.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Of what similar apparitions did Stephen think ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Of others elsewhere in other times who, kneeling on one knee or on two, had kindled fires for him, of Brother Michael in the infirmary of the college of the Society of Jesus at Clongowes Wood, Salims, in the county of Kildare : of his father, Simon Dedalus, in an unfurnished room of his first residence in Dublin, number thirteen Fitzgibbon street: of his godmother Miss Kate Morkan in the house of her dying sister Miss Julia Morkan at 15 Usher’s Island : of his mother Mary, wife of Simon Dedalus, in the kitchen of number twelve North Richmond street on the morning of the feast of Saint Francis-Xavier 1898 : of the dean of studies, Father Butt, in the physics’ theatre of university College, 16 Stephen's Green, north : of his sister Dilly (Delia) in his father’s house in Cabra.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What did Stephen see on raising his gaze to the height of a yard from the fire towards the opposite wall ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Under a row of five coiled spring housebells a curvilinear rope, stretched between two holdfasts athwart across the recess beside the chimney pier, from which hung four smallsized square handkerchiefs folded unattached consecutively in adjacent rectangles and one pair of ladies’ grey hose with Lisle suspender tops and feet in their habitual position clamped by three erect wooden pegs two at their outer extremities and the third at their point of junction.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What did Bloom see on the range ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;On the right (smaller) hob a blue enamelled saucepan : on the left (larger) hob a black iron kettle.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What did Bloom do at the range ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He removed the saucepan to the left hob, rose and carried the iron kettle to the sink in order to tap the current by turning the faucet to let it flow.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Did it flow ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yes. From Roundwood reservoir in county Wicklow of a cubic capacity of 2.400 million gallons, percolating through a subterranean aqueduct of filtre"
624,624,2,1,"mains of single and double pipeage constructed at an initial plant cost of £ 5 per linear yard by way of the Dargle, Rathdown, Glen of the Downs and Callowhill to the 26 acre reservoir at Stillorgan, a distance of 22 statute miles, and thence, through a system of relieving tanks, by a gradient of 250 feet to the city boundary at Eustace bridge, upper Leeson street, though from prolonged summer drouth and daily supply of 12 1/2 million gallons the water had fallen below the sill of the overflow weir for which reason the borough surveyor and waterworks engineer, Mr Spencer Harty, C. E., on the instructions of the waterworks committee had prohibited the use of municipal water for purposes other than those of consumption (envisaging the possibility of recourse being had to the impotable water of the Grand and Royal canals as in 1893) particulary as the South Dublin Guardians, notwithstanding their ration of 15 gallons per day per pauper supplied through a 6 inch meter had been convicted of a wastage of 20.000 gallons per night by a reading of their meter on the affirmation of the law agent of the corporation, Mr Ignatius Rice, solicitor, thereby acting to the detriment of another section of the public, selfsupporting taxpayers, solvent, sound.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What in water did Bloom, waterlover, drawer of water, watercarrier, returning to the range, admire ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Its universality : its democratic equality and constancy to its nature in seeking its own level : its vastness in the ocean of Mercator’s projection : its umplumbed profundity in the Sundam trench of the Pacific exceeding 8.000 fathoms : the restlessness of its waves and surface particles visiting in turn all points of its seaboard : the independence of its units : the variability of states of sea : its hydrostatic quiescence in calm : its hydrokinetic turgidity in neap and spring tides : its subsidence after devastation : its sterility in the circumpolar icecaps, arctic and antarctic : its climatic and commercial significance : its preponderance of 3 to 1 over the dry land of the globe : its indisputable hegemony extending in square leagues over all the region below the subequatorial tropic of Capricorn : the multisecular stability of its primeval basin : its luteosfulvous bed : its capacity to dissolve and hold in solution all soluble substances including millions of tons of the most precious metals : its slow erosions of peninsulas and downwardtending promontories : its alluvial deposits : its weight and volume and density : its imperturbability in lagoons and highland tarns : its gradation of colours in the torrid and temperate and frigid zones : its vehicular ramifications in continental"
625,625,2,1,"lakecontained streams and confluent oceanflowing rivers with their tributaries and transoceanic currents : gulfstream, north and south equatorial courses : its violence in seaquakes, waterspouts, Artesian wells, eruptions, torrents, eddies, freshets, spates, groundswells, watersheds, waterpartings, geysers, cataracts, whirlpools, maelstroms, inundations, deluges, cloudbursts : its vast circumter-restrial ahorizontal curve : its secrecy in springs, and latent humidity, revealed by rhabdomantic or hygrometric instruments and exemplified by the hole in the wall at Ashtown gate, saturation of air ; distillation of dew : the simplicity of its composition, two constituent parts of hydrogen with one constituent part of oxygen : its healing virtues : its buoyancy in the waters of the Dead Sea : its persevering penetrativeness in runnels, gullies, inadequate dams, leaks on shipboard : its properties for cleansing, quenching thirst and fire, nourishing vegetation : its infaillibility as paradigm and paragon : its metamorphoses as vapour, mist, cloud, rain, sleet, snow, hail : its strength in rigid hydrants : its variety of forms in loughs and bays and gulfs and bights and guts and lagoons and atolls and archipelagos and sounds and fjords and minches and tidal estuaries and arms of sea : its solidity in glaciers, icebergs, icefloes : its docility in working hydraulic millwheels, turbines, dynamos, electric power stations, bleachworks, tanneries, scutchmills : its utility in canals, rivers, ifnavigable, floating and graving docks : its potentiality derivable from harnessed tides or watercourses falling from level to level : its submarine fauna and flora (anacoustic, photophobe) numerically, if not literally, the inhabitants of the globe : its ubiquity as constituting 90 % of the human body : the noxiousness of its effluvia in lacustrine marshes, pestilential fens, faded flowerwater, stagnant pools in the waning moon.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Having set the halffilled kettle on the now burning coals, why did he return to the stillflowing tap ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;To wash his soiled hands with a partially consumed tablet of Barrington’s lemonflavoured soap, to which paper still adhered (bought thirteen hours previously for fourpence and still unpaid for), in fresh cold neverchanging everchanging water and dry them, face and hands, in a long redbordered holland cloth passed over a wooden revolving roller.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What reason did Stephen give for declining Bloom’s offer ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;That he was hydrophobe, hating partial contact by immersion or total by submersion in cold water (his last bath having taken place in the month of"
626,626,2,1,"October of the preceding year), disliking the aqueous substances of glass and crystal, distrusting aquacities of thought and language.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What impeded Bloom from giving Stephen counsels of hygiene and prophylactic to which should be added suggestions concerning a preliminary wetting of the head and contraction of the muscles with rapid splashing of the face and neck and thoracic and epigastric region in case of sea or river bathing, the parts of the human anatomy most sensitive to cold being the nape, stomach and thenar or sole of foot ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The incompatibility of aquacity with the erratic originality of genius.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What additional didactic counsels did he similarly repress ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dietary : concerning the respective percentage of protein and caloric energy in bacon, salt ling and butter, the absence of the former in the lastnamed and the abundance of the latter in the firstnamed.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Which seemed to the host to be the predominant qualities of his guest ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Confidence in himself, an equal and opposite power of abandonment and recuperation.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What concomitant phenomenon took place in the vessel of liquid by the agency of fire ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The phenomenon of ebullition. Fanned by a constant updraught of ventilation between the kitchen and the chimneyflue, ignition was communicated from the faggots of precombustible fuel to polyhedral masses of bituminous coal, containing in compressed mineral form the foliated fossilised decidua of primeval forests which had in turn derived their vegetative existence from the sun, primal source of heat (radiant), transmitted through omnipresent luminiferous diathermanous ether. Heat (convected), a mode of motion developed by such combustion, was constantly and increasingly conveyed from the course of calorification to the liquid contained in the vessel, being radiated through the uneven unpolished dark surface of the metal iron, in part reflected, in part absorbed, in part transmitted, gradually raising the temperature of the water from normal to boiling point, a rise in temperature expressible as the result of an expenditure of 72 thermal units needed to raise 1 pound of water from 50° to 212° Fahrenheit."
627,627,2,1,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What announced the accomplishment of this rise in temperature?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A double falciform ejection of water vapour from under the kettlelid at both sides simultaneously.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;For what personal purpose could Bloom have applied the water so boiled ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;To shave himself.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What advantages attended shaving by night ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A softer beard : a softer brush if intentionally allowed to remain from shave to shave in its agglutinated lather: a softer skin if unexpectedly encountering female acquaintances in remote places at incustomary hours : quiet reflections upon the course of the day : a cleaner sensation when awaking after a fresher sleep since matutinal noises, premonitions and perturbations, a clattered milkcan, a postman's double knock, a paper read, reread while lathering, relathering the same spot, a shock, a shoot, with thought of aught he sought though fraught with nought might cause a faster rate of shaving and a nick on which incision plaster with precision cut and humected and applied adhered which was to be done.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Why did absence of light disturb him less than presence of noise ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Because of the surety of the sense of touch in his firm full masculine feminine passive active hand.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What quality did it (his hand) possess but with what counteracting influence ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The operative surgical quality but that he was reluctant to shed human blood even when the end justified the means, preferring, in their natural order, heliotherapy, psychophysicotherapeutics, osteopathic surgery.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What lay under exposure on the lower middle and upper shelves of the kitchen dresser opened by Bloom ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;On the lower shelf five vertical breakfast plates, six horizontal breakfast saucers on which rested inverted breakfast cups, a moustachecup, uninverted, and saucer of Crown Derby, four white goldrimmed eggcups, an open shammy purse dispaying coins, mostly copper, and a phial of aromatic violet comfits. On the middle shelf a chipped eggcup containing pepper, a drum of table salt, four conglomerated black olivesin oleaginous paper, an empty pot of"
628,628,2,1,"Plumtree's potted meat, an oval wicker basket bedded with fibre and containing one Jersey pear, a halfempty bottle of William Gilbey and Co’s white invalid port, half disrobed of its swathe of coralpink tissue paper, a packet of Epps’s soluble cocoa, five ounces of Anne Lynch’s choice tea at 2/- per lb. in a crinkled leadpaper bag, a cylindrical canister containing the best crystallised lump sugar, two onions, one the larger, Spanish, entire, the other, smaller, Irish, bisected with augmented surface and more redolent, a jar of Irish Model Dairy’s cream, a jug of brown crockery containing a naggin and a quarter of soured adulterated milk, converted by heat into water, acidulous serum and semisolidified curds, which added to the quantity subtracted for Mr Bloom’s and Mrs Fleming’s breakfasts made one imperial pint, the total quantity originally delivered, two cloves, a halfpenny and a small dish containing a slice of fresh ribsteak. On the upper shelf a battery of jamjars of various sizes and proveniences.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What attracted his attention lying on the apron of the dresser ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Four polygonal fragments of two lacerated scarlet betting tickets, numbered 8 87, 8 86.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;What reminiscences temporarily corrugated his brow?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Reminiscences of coincidences, truth stranger than fiction, preindicative of the result of the Gold Cup flat handicap, the official and definitive result of which he had rend in the Evening Telegraph, late pink edition, in the cabman’s shelter, at Butt bridge.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Where had previous intimations of the result, effected or projected, been received by him ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;In Bernard Kiernan’s licensed premises 8, 9 and 10 Little Britain street: in David Byrne’s licensed premises, 14 Duke street: in O’Connell street lower, outside Graham Lemon’s when a dark man had placed in his hand a throwaway (subsequently thrown away), advertising Elijah, restorer of the church in Zion : in Lincoln place outside the premises of F. W Sweny and Co (Limited), dispensing chemists, when, when Frederick M. (Bantam) Lyons had rapidly and successively requested, perused and restituted the copy of the current issue 01 the Freeman s Journal and National Press which he had been about to throw away (subsequently thrown away), he had proceeded towards the oriental edifice of the Turkish and Warm Baths, 11 Leinster street, with the light of"
