guid,title,language,comments,Published status,Book Weight,body
3,3,en,2,1,3,"Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed. A yellow dressinggown, ungirdled, was sustained gently behind him by the mild morning air. He held the bowl aloft and intoned:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Introibo ad altare Dei.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Halted, he peered down the dark winding stairs and called up coarsely :<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Come up, Kinch. Come up, you fearful Jesuit.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Solemnly he came forward and mounted the round gunrest. He faced about and blessed gravely thrice the tower, the surrounding country and the awaking mountains. Then, catching sight of Stephen Dedalus, he bent towards him and made rapid crosses in the air, gargling in his throat and shaking his head. Stephen Dedalus, displeased and sleepy, leaned his arms on the top of the staircase and looked coldly at the shaking gurgling face that blessed him, equine in its length, and at the light untonsured hair, grained and hued like pale oak.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan peeped an instant under the mirror and then covered the bowl smartly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Back to barracks, he said sternly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He added in a preacher's tone:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— For this, O dearly beloved, is the genuine Christine: body and soul and blood and ouns. Slow music, please. Shut your eyes, gents. One moment. A little trouble about those white corpuscles. Silence, all.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He peered sideways up and gave a long low whistle of call then paused awhile in rapt attention, his even white teeth glistening here and there with gold points. Chrysostomos. Two strong shrill whistles answered through the calm.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Thanks, old chap, he cried briskly. That will do nicely. Switch off the current, will you?"
4,4,en,2,1,4,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He skipped off the gunrest and looked gravely at his watcher, gathering about his legs the loose folds of his gown. The plump shadowed face and sullen oval jowl recalled a prelate, patron of arts in the middle ages. A pleasant smile broke quietly over his lips.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The mockery of it, he said gaily. Your absurd name, an ancient Greek.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He pointed his finger in friendly jest and went over to the parapet, laughing to himself. Stephen Dedalus stepped up, followed him wearily halfway and sat down on the edge of the gunrest, watching him still as he propped his mirror on the parapet, dipped the brush in the bowl and lathered cheeks and neck.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan's gay voice went on.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— My name is absurd too: Malachi Mulligan, two dactyls. But it has a Hellenic ring, hasn't it? Tripping and sunny like the buck himself. We must go to Athens. Will you come if I can get the aunt to fork out twenty quid?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He laid the brush aside and, laughing with delight, cried:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Will he come? The jejune jesuit.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ceasing, he began to shave with care.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Tell me, Mulligan, Stephen said quietly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Yes, my love?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— How long is Haines going to stay in this tower?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan showed a shaven cheek over his right shoulder.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— God, isn't he dreadful? he said frankly. A ponderous Saxon. He thinks you're not a gentleman. God, these bloody English. Bursting with money and indigestion. Because he comes from Oxford. You know, Dedalus, you have the real Oxford manner. He can't make you out. O, my name for you is the best: Kinch, the knifeblade.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He shaved warily over his chin.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— He was raving all night about a black panther, Stephen said. Where is his guncase ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— A woful lunatic, Mulligan said. Were you in a funk?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I was, Stephen said with energy and growing fear. Out here in the dark with a man I don't know raving and moaning to himself about shooting a black panther. You saved men from drowning. I'm not a hero, however. If he stays on here I am off.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan frowned at the lather on his razor blade. He hopped down from his perch and began to search his trouser pockets hastily."
5,5,en,2,1,5,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Scutter, he cried thickly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He came over to the gunrest and, thrusting a hand into Stephen's upper pocket, said:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Lend us a loan of your noserag to wipe my razor.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen suffered him to pull out and hold up on show by its corner a dirty crumpled handkerchief. Buck Mulligan wiped the razorblade neatly. Then, gazing over the handkerchief, he said :<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The bard's noserag. A new art colour for our Irish poets : snotgreen. You can almost taste it, can't you ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He mounted to the parapet again and gazed out over Dublin bay, his fair oakpale hair stirring slightly.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— God, he said quietly. Isn't the sea what Algy calls it: a great sweet mother? The snotgreen sea. The scrotumtightening sea. Epi oinopa ponton. Ah, Dedalus, the Greeks. I must teach you. You must read them in the original. Thalalta! Thalatta! She is our great sweet mother. Come and look.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen stood up and went over to the parapet. Leaning on it he looked down on the water and on the mailboat clearing the harbour mouth of Kingstown.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Our mighty mother, Buck Mulligan said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He turned abruptly his great searching eyes from the sea to Stephen's face.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The aunt thinks you killed your mother, he said. That's why she won't let me have anything to do with you.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Someone killed her, Stephen said gloomily.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— You could have knelt down, damn it, Kinch, when your dying mother asked you, Buck Mulligan said. I'm hyperborean as much as you. But to think of your mother begging you with her last breath to kneel down and pray for her. And you refused. There is something sinister in you...<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He broke off and lathered again lightly his farther cheek. A tolerant smile curled his lips.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— But a lovely mummer, he murmured to himself. Kinch, the loveliest mummer of them all.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He shaved evenly and with care, in silence, seriously.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen, an elbow rested on the jagged granite, leaned his palm against his brow and gazed at the fraying edge of his shiny black coatsleeve. Pain, that was not yet the pain of love, fretted his heart. Silently, in a dream she had come to him after her death, her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood, her breath, that had bent upon him, mute, reproachful, a faint odour of wetted ashes. Across the"
6,6,en,2,1,6,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;threadbare cuffedge he saw the sea hailed as a great sweet mother by the wellfed voice beside him. The ring of bay and skyline held a dull green mass of liquid. A bowl of white china had stood beside her deathbed holding the green sluggish bile which she had torn up from her rotting liver by fits of loud groaning vomiting.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan wiped again his razorblade.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Ah, poor dogsbody, he said in a kind voice. I must give you a shirt and a few noserags. How are the secondhand breeks?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— They fit well enough, Stephen answered.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan attacked the hollow beneath his underlip.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The mockery of it, he said contentedly, secondleg they should be. God knows what poxy bowsy left them off. I have a lovely pair with a hair stripe, grey. You'll look spiffing in- them. I'm not joking, Kinch. You look damn well when you're dressed.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Thanks, Stephen said. I can't wear them if they are grey.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— He can't wear them, Buck Mulligan told his face in the mirror. Etiquette is etiquette. He kills his mother but he can't wear grey trousers.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He folded his razor neatly and with stroking palps of fingers felt the smooth skin.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen turned his gaze from the sea and to the plump face with its smokeblue mobile eyes.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— That fellow I was with in the Ship last night, said Buck Mulligan says you have g. p. i. He's up in Dottyville with Conolly Norman. General paralysis of the insane.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He swept the mirror a half circle in the air to flash the tidings abroad in sunlight now radiant on the sea. His curling shaven lips laughed and the edges of his white glittering teeth. Laughter seized all his strong wellknit trunk.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Look at yourself, he said, you dreadful bard.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen bent forward and peered at the mirror held out to him, cleft by a crooked crack, hair on end. As he and others see me. Who chose this face for me? This dogsbody to rid of vermin. It asks me too.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I pinched it out of the skivvy's room, Buck Mulligan said. It does her all right. The aunt always keeps plainlooking servants for Malachi. Lead him not into temptation. And her name is Ursula.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Laughing again, he brought the mirror away from Stephen's peering eyes.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The rage of Caliban at not seeing his face in a mirror, he said. If Wilde were only alive to see you."
7,7,en,2,1,7,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Drawing back and printing, Stephen said with bitterness:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— It is a symbol of Irish art. The cracked lookingglass of a servant.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan suddenly linked his arm in Stephen's and walked with him<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;round the tower, his razor and mirror clacking in the pocket where he had thrust them.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— It's not fair to tease you like that, Kinch, is it? he said kindly. God knows you have more spirit than any of them.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Parried again. He fears the lancet of my art as I fear that of his. The cold steel pen.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Cracked lookingglass of a servant. Tell that to the oxy chap downstairs and touch him for a guinea. He's stinking with money and thinks you're not a gentleman. His old fellow made his tin by selling jalap to Zulus or some bloody swindle or other. God, Kinch, if you and I could only work together we might do something for the island. Hellenise it.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Cranly's arm. His arm.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— And to think of your having to beg from these swine. I'm the only one that knows what you are. Why don't you trust me more? What have you up your nose against me? Is it Haines? If he makes any noise here I'll bring down Seymour and we'll give him a ragging worse than they gave Clive Kempthorpe.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Young shouts of moneyed voices in Clive Kempthorpe's rooms. Palefaces: they hold their ribs with laughter, one clasping another, O, I shall expire! Break the news to her gently, Aubrey! I shall die! With slit ribbons of his shirt whipping the air he hops and hobbles round the table, with trousers down at heels, chased by Ades of Magdalen with the tailor's shears. A scared calf's face gilded with marmalade. I don't want to be debagged! Don't you play the giddy ox with me!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Shouts from the open window startling evening in the quadrangle. A deaf gardener, aproned, masked with Matthew Arnold's face, pushes his mower on the sombre lawn watching narrowly the dancing motes of grasshalms.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;To ourselves... new paganism... omphalos.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Let him stay, Stephen said. There's nothing wrong with him except at night.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Then what is it? Buck Mulligan asked impatiently. Cough it up. I'm quite frank with you. What have you against me now?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;They halted, looking towards the blunt cape of Bray Head that lay on the water like the snout of a sleeping whale. Stephen freed his arm quietly."
8,8,en,2,1,8,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Do you wish me to tell you? he asked.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Yes, what is it? Buck Mulligan answered. I don't remember anything.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He looked in Stephen's face as he spoke. A light wind passed his brow,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;fanning softly his fair uncombed hair and stirring silver points of anxiety in his eyes.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen, depressed by his own voice, said:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Do you remember the first day I went to your house after my mother's death ?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan frowned quickly and said:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— What? Where? I can't remember anything. I remember only ideas and sensations. Why? What happened in the name of God?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— You were making tea, Stephen said, and I went across the landing to get more hot water. Your mother and some visitor came out of the drawing room. She asked you who was in your room.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Yes? Buck Mulligan said. What did I say ? I forget.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— You said, Stephen answered, O, it's only Dedalus whose mother is beastly dead.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A flush which made him seem younger and more engaging rose to Buck Mulligan's cheek.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Did I say that? he asked. Well? What harm is that?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He shook his constraint from him nervously.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— And what is death, he asked, your mother's or yours or my own? You saw only your mother die. I see them pop off every day in the Mater and Richmond and cut up into tripes in the dissecting room. It's a beastly thing and nothing else. It simply doesn't matter. You wouldn't kneel down to pray for your mother on her deathbed when she asked you. Why? Because you have the cursed jesuit strain in you, only it's injected the wrong way. To me it's all a mockery and beastly. Her cerebral lobes are not functioning. She calls the doctor Sir Peter Teazle and picks buttercups off the quilt. Humour her till it's over. You crossed her last wish in death and yet you sulk with me because I don't whinge like some hired mute from Lalouette's. Absurd! I suppose I did say it. I didn't mean to offend the memory of your mother.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He had spoken himself into boldness. Stephen, shielding the gaping wounds which the words had left in his heart, said very coldly :<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I am not thinking of the offence to my mother.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Of what, then? Buck Mulligan asked."
9,9,en,2,1,9,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Of the offence to me, Stephen answered.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan swung round on his heel.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— O, an impossible person! he exclaimed.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He walked off quickly round the parapet. Stephen stood at his post, gazing over the calm sea towards the headland. Sea and headland now grew dim. Pulses were beating in his eyes, veiling their sight, and he felt the fever of his cheeks.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A voice within the tower called loudly:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Are you up there, Mulligan?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I'm coming, Buck Mulligan answered.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He turned towards Stephen and said:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Look at the sea. What does it care about offences? Chuck Loyola, Kinch, and come on down. The Sassenach wants his morning rashers.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;His head halted again for a moment at the top of the staircase, level with the roof:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Don't mope over it all day, he said. I'm inconsequent. Give up the moody brooding.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;His head vanished but the drone of his descending voice boomed out or the stairhead:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;And no more turn aside and brood<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Upon love's bitter mystery<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;For Fergus rules the brazen cars.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Woodshadows floated silently by through the morning peace from the stairhead seaward where he gazed. Inshore and farther out the mirror of water whitened, spurned by lightshod hurrying feet. White breast of the dim sea. The twining stresses, two by two. A hand plucking the harpstrings merging their twining chords. Wavewhite wedded words shimmering on the dim tide.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A cloud began to cover the sun slowly, shadowing the bay in deeper green. It lay behind him, a bowl of bitter waters. Fergus' song: I sang it above in the house, holding down the long dark chords. Her door was open: she wanted to hear my music. Silent with awe and pity I went to her bedside. She was crying in her wretched bed. For those words, Stephen: love's fitter mystery.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Where now?"
10,10,en,2,1,10,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Her secrets: old feather fans, tassled dancecards, powdered with musk, a gaud of amber beads in her locked drawer. A birdcage hung in the sunny window of her house when she was a girl. She heard old Royce sing in the pantomine of Turko the terrible and laughed with others when he sang :<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;I am the boy That can enjoy Invisibility.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Phantasmal mirth, folded away: muskperfumed.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;And no more turn aside and brood.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Folded away in the memory of nature with her toys. Memories beset his brooding brain. Her glass of water from the kitchen tap when she had approached the sacrament. A cored apple, filled with brown sugar, roasting for her at the hob on a dark autumn evening. Her shapely fingernails reddened by the blood of squashed lice from the children's shirts.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;In a dream, silently, she had come to him, her wasted body within its loose graveclothes giving off an odour of wax and rosewood, her breath bent over him with mute secret words, a faint odour of wetted ashes.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Her glazing eyes, staring out of death, to shake and bend my soul. On me alone. The ghostcandle to light her agony. Ghostly light on the tortured face. Her hoarse loud breath rattling in horror, while all prayed on their knees. Her eyes on me to strike me down. Liliata rutilantium te confessorum turma circumdet; iubilantium te virginum chorus excipiat.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ghoul! Chewer of corpses!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;No, mother. Let me be and let me live.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Kinch ahoy!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan's voice sang from within the tower. It came nearer up the staircase, calling again. Stephen, still trembling at his soul's cry, heard warm running sunlight and in the air behind him friendly words.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Dedalus, come down, like a good mosey. Breakfast is ready. Haines is apologising for waking us last night. It's all right.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I'm coming, Stephen said, turning.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Do, for Jesus' sake, Buck Mulligan said. For my sake and for all our sakes."
11,11,en,2,1,11,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;His head disappeared and reappeared.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I told him your symbol of Irish art. He says it's very clever. Touch him for a quid, will you? A guinea, I mean.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I get paid this morning, Stephen said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The school kip? Buck Mulligan said. How much? Four quid? Lend us one.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— If you want it, Stephen said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Four shining sovereigns, Buck Mulligan cried with delight. We'll have a glorious drunk to astonish the druidy druids. Four omnipotent sovereigns.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He flung up his hands and tramped down the stone stairs, singing out of tune with a Cockney accent:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;O, wont we have a merry time,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Drinking whisky, beer and wine,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;On coronation Coronation day?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;O, wont we have a merry time On coronation day?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Warm sunshine merrying over the sea. The nickel shavingbowl shone, forgotten, on the parapet. Why should I bring it down? Or leave it there all day, forgotten friendship?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He went over to it, held it in his hands awhile, feeling its coolness, smelling the clammy slaver of the lather in which the brush was stuck. So I carried the boat of incense then at Clongowes. I am another now and yet the same. A servant too. A server of a servant.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;In the gloomy domed livingroom of the tower Buck Mulligan's gowned form moved briskly about the hearth to and fro, hiding and revealing its yellow glow. Two shafts of soft daylight fell across the flagged floor from the high barbacans: and at the meeting of their rays a cloud of coalsmoke and fumes of fried grease floated, turning.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— We'll be choked, Buck Mulligan said. Haines, open that door, will you?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen laid the shavingbowl on the locker. A tall figure rose from the<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;hammock where it had been sitting, went to the doorway and pulled open the inner doors.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Have you the key? a voice asked.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Dedalus has it, Buck Mulligan said. Janey Mack, I'm choked."
12,12,en,2,1,12,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;He howled without looking up from the fire:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— Kinch!<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— It's in the lock, Stephen said, coming forward.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The key scraped round harshly twice and, when the heavy door had been set ajar, welcome light and bright air entered. Haines stood at the doorway, looking out. Stephen haled his upended valise to the table and sat down to wait. Buck Mulligan tossed the fry on to the dish beside him. Then he carried the dish and a large teapot over to the table, set them down heavily and sighed with relief.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I'm melting, he said, as the candle remarked when... But hush. Not a word more on that subject. Kinch, wake up. Bread, butter, honey. Haines, come in. The grub is ready. Bless us, O Lord, and these thy gifts. Where's the sugar? O, jay, there's no milk.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stephen fetched the loaf and the pot of honey and the buttercooler from the locker. Buck Mulligan sat down in a sudden pet.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— What sort of a kip is this ? he said. I told her to come after eight.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— We can drink it black, Stephen said. There's a lemon in the locker.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— O, damn you and your Paris fads, Buck Mulligan said. I want Sandycove milk.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Haines came in from the doorway and said quietly:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— That woman is coming up with the milk.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— The blessings of God on you, Buck Mulligan cried, jumping up from his chair. Sit down. Pour out the tea there. The sugar is in the bag. Here, I can't go fumbling at the damned eggs. He hacked through the fry on the dish and slapped it out on three plates, saying:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— In nomine Patris et Filii et Spiritus Sancti.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Haines sat down to pour out the tea.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— I'm giving you two lumps each, he said. But, I say, Mulligan, you do make strong tea, don't you?<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan, hewing thick slices from the loaf said in an old woman's wheedling voice:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— When I makes tea I makes tea, as old mother Grogan said. And when I makes water I makes water.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— By Jove, it is tea, Haines said.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Buck Mulligan went on hewing and wheedling:<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;— So I do, Mrs Cahill, says she. Begob, ma'am, says Mrs Cahill, God send you don't make them in the one pot."
